flight_time,distance_to_goal,success,collision,termination_reason,gui,walls,hole_width,hole_height,padding,run_id
9.999999999999753,0.1737840605974201,False,False,path_finished,False,3,0.55,0.35,0.07,4
5.037500000000034,3.6947885750331926,False,True,collision,False,3,0.55,0.45,0.05,4
9.166666666666467,0.17172818019295866,False,False,path_finished,False,3,0.55,0.45,0.07,2
2.4250000000000154,5.926062552112467,False,True,collision,False,3,0.55,0.55,0.03,1
2.7250000000000303,5.674959515094232,False,True,collision,False,3,0.55,0.55,0.03,0
8.749999999999824,0.15232900945911085,False,False,path_finished,False,3,0.55,0.45,0.07,4
7.591666666666556,0.09933227963143955,True,False,goal_reached,False,3,0.55,0.55,0.03,2
6.208333333333301,1.388717373302187,False,True,collision,False,3,0.55,0.45,0.07,3
2.137500000000001,5.570863708432748,False,True,collision,False,3,0.55,0.55,0.03,3
4.554166666666728,3.3885423773919294,False,True,collision,False,3,0.55,0.55,0.03,4
3.8000000000000838,3.6542365547668925,False,True,collision,False,3,0.55,0.55,0.05,2
5.8249999999999895,1.9380263381054343,False,True,collision,False,3,0.55,0.55,0.05,0
3.5708333333334057,3.970575110085894,False,True,collision,False,3,0.55,0.55,0.05,3
5.712499999999996,2.082186438040255,False,True,collision,False,3,0.55,0.55,0.05,1
10.012499999999752,0.09956884841044918,True,False,goal_reached,False,3,0.55,0.55,0.07,0
4.575000000000061,3.9373716207110396,False,True,collision,False,3,0.55,0.55,0.07,1
4.64583333333339,3.3565067123610937,False,True,collision,False,3,0.55,0.55,0.07,3
4.29583333333341,3.8639169663241635,False,True,collision,False,3,0.55,0.65,0.03,0
11.162499999999687,0.09980676885635,True,False,goal_reached,False,3,0.55,0.55,0.07,2
2.4583333333333504,5.265153134070221,False,True,collision,False,3,0.55,0.55,0.05,4
6.858333333333264,0.09940581956214566,True,False,goal_reached,False,3,0.55,0.55,0.07,4
4.137500000000085,3.253358961816983,False,True,collision,False,3,0.55,0.65,0.03,3
4.008333333333426,4.003764315138412,False,True,collision,False,3,0.55,0.65,0.03,4
10.279166666666404,0.09971376318882921,True,False,goal_reached,False,3,0.55,0.65,0.03,2
2.3875000000000135,5.67926205919532,False,True,collision,False,3,0.55,0.65,0.05,1
6.05833333333331,1.8659478368902256,False,True,collision,False,3,0.55,0.65,0.05,2
8.76666666666649,0.09874864464436213,True,False,goal_reached,False,3,0.55,0.65,0.05,0
3.3500000000000614,4.121474286389346,False,True,collision,False,3,0.55,0.65,0.07,0
4.712500000000053,3.9903171989751214,False,True,collision,False,3,0.55,0.65,0.05,4
3.566666666666739,4.063764775211882,False,True,collision,False,3,0.55,0.65,0.05,3
4.362500000000073,3.902484273606421,False,True,collision,False,3,0.55,0.65,0.07,3
5.329166666666684,3.1604881714023216,False,True,collision,False,3,0.55,0.65,0.07,2
7.233333333333243,0.09892523743850047,True,False,goal_reached,False,3,0.55,0.65,0.07,4
8.749999999999824,0.1489544901808407,False,False,path_finished,False,3,0.55,0.65,0.07,1
1.3583333333333298,5.921239592207126,False,True,collision,False,3,0.55,0.75,0.03,2
3.3875000000000632,3.452717667656934,False,True,collision,False,3,0.55,0.75,0.03,3
7.683333333333217,0.09643562754857654,True,False,goal_reached,False,3,0.55,0.75,0.03,0
6.624999999999944,1.3085078156018446,False,True,collision,False,3,0.55,0.75,0.03,1
6.383333333333291,2.1362460808670014,False,True,collision,False,3,0.55,0.75,0.03,4
7.199999999999911,0.0982562295541949,True,False,goal_reached,False,3,0.55,0.75,0.05,0
8.312499999999849,0.0970440648024658,True,False,goal_reached,False,3,0.55,0.75,0.05,1
2.008333333333328,5.215396126685921,False,True,collision,False,3,0.55,0.75,0.05,2
3.4708333333334007,3.5634310950234753,False,True,collision,False,3,0.55,0.75,0.05,4
6.579166666666613,0.09743108719641248,True,False,goal_reached,False,3,0.55,0.75,0.07,0
3.05833333333338,3.9955102630629415,False,True,collision,False,3,0.55,0.75,0.07,1
